pair,statistical_status,cost_gated_pass,observations,pair_selection_score,pair_selection_correlation,funding_carry_bps_per_day,kalman_beta_latest,kalman_alpha_latest,kalman_beta_unstable,adf_p_value,kpss_p_value,stationarity_status,preliminary_half_life,ou_status,ou_theta,ou_mu,ou_sigma,ou_half_life,latest_rolling_zscore,reasons
ARBUSDT/AVAXUSDT,ACCEPT,False,26304,0.772036315948,0.7720363159480187,6.0,1.0083545982700275,-4.484011314164197,False,0.0,0.1,WARN,1.9338917467872663,MEAN_REVERTING,0.44382276567480655,-0.00011792960191688171,0.005152050241402302,1.5617657185882647,0.8285679187199133,historical z-score outlier exceeds stability threshold
ADAUSDT/ETHUSDT,ACCEPT,False,26304,0.771514620053,0.771514620053295,5.0808,0.9489266921365036,-8.663384499434347,False,0.0,0.1,WARN,1.2139122542647456,MEAN_REVERTING,0.8463046649401237,-1.4396985345639763e-05,0.004013487704750905,0.8190279568044041,1.3345500747822685,historical z-score outlier exceeds stability threshold
ETCUSDT/LINKUSDT,ACCEPT,False,26304,0.771376491897,0.7713764918965008,6.0,0.8067511816001537,0.3159746218047561,False,0.0,0.1,WARN,2.038632942633748,MEAN_REVERTING,0.41552434781741365,-5.7573795441088356e-05,0.004352767417098711,1.6681265109993564,0.5514286708726676,historical z-score outlier exceeds stability threshold
ADAUSDT/ARBUSDT,ACCEPT,False,26304,0.771118294128,0.7711182941281094,6.0,0.5894609395150079,-0.10773543748959992,False,0.0,0.1,WARN,2.6073704853708204,MEAN_REVERTING,0.3090302812136104,0.0001527617920536876,0.005231362407666976,2.2429749532565144,-0.6015693760520937,historical z-score outlier exceeds stability threshold
AVAXUSDT/SOLUSDT,ACCEPT,False,26304,0.768869833175,0.7688698331753107,5.603400000000001,0.8706037771385603,-1.6478304544865572,False,0.0,0.1,WARN,1.6040924898374138,MEAN_REVERTING,0.5658305870235729,-5.9605207688073915e-05,0.004699089361585676,1.2250083266196217,1.3123807055497199,historical z-score outlier exceeds stability threshold
ETCUSDT/OPUSDT,ACCEPT,False,26304,0.768072032418,0.7680720324179535,6.0,0.516388779161628,3.2042772233312755,False,0.0,0.1,WARN,2.4355251546561845,MEAN_REVERTING,0.33491157055728116,0.00010142028460258793,0.004477928401694583,2.069642381738477,-0.24766803147853497,historical z-score outlier exceeds stability threshold
ETHUSDT/SOLUSDT,ACCEPT,False,26304,0.766112965984,0.766112965983648,4.684200000000001,0.7998957389504253,4.077112991040284,False,0.0,0.1,WARN,1.6041007315702183,MEAN_REVERTING,0.5658266775417168,-1.0008087409956854e-05,0.003160883586526644,1.2250167906034115,-1.5455845451840098,historical z-score outlier exceeds stability threshold
DOGEUSDT/ETCUSDT,ACCEPT,False,26304,0.765806007567,0.7658060075669098,5.8266,0.8189825033782852,-4.020502465992785,False,0.0,0.1,WARN,1.8148863134990316,MEAN_REVERTING,0.48114255033346637,6.530236430410298e-05,0.0053035794405581795,1.4406274815635085,-0.14101139955464825,historical z-score outlier exceeds stability threshold
AVAXUSDT/ETHUSDT,ACCEPT,False,26304,0.764206282383,0.764206282383254,5.0808,0.9410952303508869,-4.963657136182539,False,0.0,0.1,WARN,1.2467311541383685,MEAN_REVERTING,0.8118668738976268,-1.539244885904184e-05,0.00405679442503432,0.8537695068555641,1.8333464499015362,historical z-score outlier exceeds stability threshold
DOGEUSDT/ETHUSDT,ACCEPT,False,26304,0.762461915633,0.7624619156334715,4.9074,0.963848584142408,-9.629403526501923,False,0.0,0.1,WARN,1.1574308720075108,MEAN_REVERTING,0.913462292992392,1.3216696312396152e-05,0.004255813615194195,0.7588131287710618,1.2850483818608256,historical z-score outlier exceeds stability threshold
AVAXUSDT/ETCUSDT,ACCEPT,False,26304,0.76144993786,0.7614499378604256,6.0,0.8552483610921062,0.3947617494786496,False,0.0,0.1,WARN,1.930323986036497,MEAN_REVERTING,0.44485584318224497,-1.7595242002418302e-06,0.005240450361405377,1.558138869440414,1.0485255587591824,historical z-score outlier exceeds stability threshold
DOTUSDT/ETHUSDT,ACCEPT,False,26304,0.760095151521,0.7600951515210366,5.0808,0.9015139614581381,-6.685255965401117,False,0.0,0.1,WARN,1.2094920888540517,MEAN_REVERTING,0.8511808200783691,-4.3030952142346296e-05,0.0038392055185141284,0.8143359956068165,1.1192319508633983,historical z-score outlier exceeds stability threshold
ARBUSDT/ATOMUSDT,ACCEPT,False,26304,0.759780635487,0.7597806354866519,6.0,0.7413342961981962,-2.771202024859217,False,0.0,0.1,WARN,2.276419354801625,MEAN_REVERTING,0.3631100482458889,-7.129213819918343e-05,0.005367930149556915,1.9089176515725714,0.9553061881456939,historical z-score outlier exceeds stability threshold
DOTUSDT/OPUSDT,ACCEPT,False,26304,0.759508815645,0.7595088156447138,6.0,0.6436146519467794,1.5440443595978726,False,0.0,0.1,WARN,2.4103338422465885,MEAN_REVERTING,0.3390779718027831,5.1567036507501885e-05,0.004846281731803579,2.044211768976542,0.35067299701927457,historical z-score outlier exceeds stability threshold
ETHUSDT/OPUSDT,ACCEPT,False,26304,0.759106394457,0.7591063944565987,5.0808,0.43188840002469425,8.528762797023392,False,0.0,0.1,WARN,2.5067919104230763,MEAN_REVERTING,0.3236653288260138,0.00012613941030620732,0.0035880722441319706,2.141555238783535,-1.6407834838014268,historical z-score outlier exceeds stability threshold
ADAUSDT/XRPUSDT,ACCEPT,False,26304,0.755832714074,0.7558327140741242,6.0,1.006798375301334,-1.7382954876959857,False,0.0,0.1,WARN,2.4618900421175987,MEAN_REVERTING,0.33066031821648384,-7.57255982181827e-05,0.005097312635961356,2.0962514773428023,1.4185198237018095,historical z-score outlier exceeds stability threshold
ADAUSDT/ATOMUSDT,ACCEPT,False,26304,0.755501767163,0.7555017671629769,6.0,0.5840036290896036,-1.8390097574252038,False,0.0,0.1,WARN,2.36228840803567,MEAN_REVERTING,0.3473215545185535,8.525793458745835e-05,0.00508263440585108,1.9956929581314486,0.32722132543782934,historical z-score outlier exceeds stability threshold
ETCUSDT/LTCUSDT,ACCEPT,False,26304,0.755144357451,0.7551443574505229,5.83245,0.9414676301700393,-1.619668172016251,False,0.0,0.1,WARN,1.5581644659622063,MEAN_REVERTING,0.5885142932382211,-1.8217549715437008e-05,0.004255454130903121,1.1777915821653127,0.5317305390687879,historical z-score outlier exceeds stability threshold
ETHUSDT/UNIUSDT,ACCEPT,False,26304,0.754137273443,0.7541372734429782,5.0808,0.5246454704617832,7.026220423825406,False,0.0,0.1,WARN,2.1734274747243587,MEAN_REVERTING,0.38407394512995974,2.887466631475265e-05,0.0037083744755982443,1.8047232553757426,-1.1713382990638412,historical z-score outlier exceeds stability threshold
DOGEUSDT/DOTUSDT,ACCEPT,False,26304,0.753881371926,0.753881371926357,5.8266,0.609889879952559,-2.4027988742150836,False,0.0,0.1,WARN,2.136629957680943,MEAN_REVERTING,0.39217101290754375,0.00013427283653964152,0.00553067489034257,1.767461535264867,-0.6000372881969898,historical z-score outlier exceeds stability threshold
BTCUSDT/SOLUSDT,ACCEPT,False,26304,0.753778042936,0.7537780429359535,4.5933,0.5634310145358601,8.723508746546072,False,0.0,0.1,WARN,1.559300733233965,MEAN_REVERTING,0.5879305464224767,3.457420249952437e-05,0.002451563991916552,1.1789609925487046,-1.9102091961870342,historical z-score outlier exceeds stability threshold
ADAUSDT/SOLUSDT,ACCEPT,False,26304,0.753571014632,0.7535710146316928,5.603400000000001,0.8703735026617606,-5.286541382980512,False,0.0,0.1,WARN,1.5663495637607623,MEAN_REVERTING,0.5843357184883627,-5.1525355561923416e-05,0.004756611506051444,1.1862139496676165,0.5844450746712128,historical z-score outlier exceeds stability threshold
ATOMUSDT/ETCUSDT,ACCEPT,False,26304,0.753257264697,0.7532572646972621,6.0,0.6904094017480962,-0.7819837977293068,False,0.0,0.1,WARN,1.9252380258177109,MEAN_REVERTING,0.4463370094444657,-7.615947655546324e-05,0.004386075111089463,1.5529681964367517,0.2296087505472789,historical z-score outlier exceeds stability threshold
