dimension,bucket,trade_count,gross_pnl_bps,avg_gross_pnl_bps,gross_profit_factor,net_pnl_bps,avg_net_pnl_bps,avg_cost_bps,profit_outcome_rate,stop_outcome_rate,vertical_outcome_rate,hit_rate_gross,avg_abs_entry_zscore,avg_bars_held
outcome_distribution,PROFIT,43347,3020665.3133540275,69.68568328497999,7.0800382143796226,2462447.4769665278,56.807794702436794,12.8778885825432,1.0,0.0,0.0,0.8442337416660899,2.956098275819969,3.6842226682354027
outcome_distribution,STOP,6509,-1695916.426677255,-260.5494586998394,0.0,-1777209.131314755,-273.0387357988562,12.489277099016745,0.0,1.0,0.0,0.0,2.855006271940179,2.0474727300660622
outcome_distribution,VERTICAL,13022,-1372996.9136977894,-105.43671584225076,0.02817186413027501,-1547112.5332227892,-118.807597390784,13.37088154853325,0.0,0.0,1.0,0.11687912763016434,2.979595795208265,5.790585163569344
entry_zscore_buckets,2.0-2.5,29244,45369.840413978025,1.5514238959779107,1.0330656136928789,-332056.20478602196,-11.354678046300847,12.906101942278758,0.6916974422103679,0.10576528518670497,0.2025372726029271,0.6131856107235673,2.220437624511452,3.8024210094378335
entry_zscore_buckets,2.5-3.0,14319,15197.93443999976,1.0613823898316754,1.019611202322291,-169843.88053500024,-11.86143449507649,12.922816884908165,0.680913471611146,0.1095746909700398,0.20951183741881416,0.6091905859347719,2.7220758409023795,3.880159228996438
entry_zscore_buckets,3.0+,19315,-108815.80187499456,-5.6337458904993305,0.9253896212836137,-359974.1022499945,-18.637023155578284,13.003277265078953,0.69215635516438,0.09562516179135387,0.2122184830442661,0.5934247993787212,4.225195049139776,4.228527051514367
bars_held_buckets,1h,8412,-106727.79737741503,-12.68756507101938,0.8575967478057628,-209618.10634616506,-24.918937986943064,12.23137291592368,0.5853542558250119,0.4139324774132192,0.0007132667617689016,0.5855920114122682,2.818780235484874,1.0
bars_held_buckets,2-4h,32115,1330047.9503657003,41.41516270794645,2.2646692959071486,922489.3289094503,28.724562631463503,12.690600076482951,0.8043593336447143,0.07709792931651877,0.11854273703876693,0.770387669313405,2.907320565532612,2.969142145414915
bars_held_buckets,5-12h,22167,-1204280.8588021926,-54.32764283855247,0.30664193974353265,-1504620.7873896929,-67.87660880541765,13.54896596686516,0.563359949474444,0.02476654486398701,0.411873505661569,0.3810168268146344,3.0549329912822527,6.409031443136193
bars_held_buckets,13-24h,184,-67287.32120710929,-365.6919630821157,0.002820406266753231,-70124.62274460928,-381.1120801337461,15.420117051630434,0.5597826086956522,0.010869565217391304,0.42934782608695654,0.021739130434782608,3.927420165742104,14.11413043478261
bars_held_buckets,25h+,0,0.0,,,0.0,,,,,,,,
side_summary,LONG_SPREAD,28945,20945.272795842222,0.7236231748434003,1.0134757551319251,-354011.8995979078,-12.2305026636002,12.954125838443602,0.6879599239937814,0.09276213508377958,0.2192779409224391,0.6043185351528761,2.9013659996086347,4.021903610295388
side_summary,SHORT_SPREAD,33933,-69193.29981685898,-2.039115310077476,0.9662675461649994,-507862.287973109,-14.966619160495947,12.927503850418471,0.6905961748150767,0.11269265906344857,0.19671116612147468,0.6078154009371408,2.99241108574417,3.890549023074883
pair_summary,ETCUSDT/LTCUSDT,1441,15506.159728390765,10.760693774039392,1.2373885129038764,-2910.531046609237,-2.019799477175043,12.780493251214436,0.6613462873004857,0.08605135322692574,0.25260235947258847,0.6391394864677308,2.987824338236814,3.2116585704371965
