k,rebalance_time,status,held_long,held_short,swap_count,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
5,1685577600000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,10,0.62962,24.36064287542003,6.0,24.99026287542003,18.99026287542003
5,1685606400000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.50085,22.584868629346996,0.0,23.085718629346996,23.085718629346996
5,1685635200000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.27694,66.12300832483893,0.0,66.39994832483893,66.39994832483893
5,1685664000000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.33845,-2.6045401629432896,0.0,-2.2660901629432897,-2.2660901629432897
5,1685692800000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.14534,-1.2339872487563266,0.0,-1.0886472487563266,-1.0886472487563266
5,1685721600000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.2358,76.59669540477516,0.0,76.83249540477516,76.83249540477516
5,1685750400000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.6504399999999999,-5.0861194369094065,0.0,-4.435679436909407,-4.435679436909407
5,1685779200000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.81734,-26.392815872215504,0.0,-25.575475872215502,-25.575475872215502
5,1685808000000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.29513,-25.4244852390504,0.0,-25.1293552390504,-25.1293552390504
5,1685836800000,RESOLVED,TRXUSDT|ARBUSDT|AVAXUSDT|BNBUSDT|LTCUSDT,ADAUSDT|OPUSDT|DOGEUSDT|SOLUSDT|SUIUSDT,0,0.28496,-58.84207073109896,0.0,-58.55711073109896,-58.55711073109896
