venue,market_type,contract_type,symbol,quote_asset,interval,open_time,close_time,open,high,low,close,volume_base,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_path,source_checksum,dataset_version,base_asset,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,funding_time,funding_rate_asof,funding_interval_hours,price_for_research,log_price,is_complete_bar,quality_flags,return_1h,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685577600000,1685581199999,27201.1,27347.9,27008.1,27059.8,33639.569,914441697.8848,256082,15501.04,421502923.788,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,27201.1,27333.5,27012.95925794,27059.7,27211.09571429,27336.77809524,27025.88071429,27064.2302381,-0.0003602,0.00102785,-0.00124382,-0.00019461,1685577600008,2.096e-05,8.0,27059.7,10.205800815188823,True,,,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685581200000,1685584799999,27059.8,27155.7,27045.7,27065.5,17636.075,478001862.3409,141280,8794.619,238385167.813,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,27059.8,27155.7,27049.04871429,27066.14573016,27064.23738095,27164.07309524,27060.27190476,27080.17190476,-0.000162,0.00022051,-0.00091836,-0.0005417,1685577600008,2.096e-05,8.0,27066.14573016,10.206038990873784,True,,0.000238175684961206,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685584800000,1685588399999,27065.5,27106.5,26621.3,26705.1,42682.679,1144205724.75346,268982,17221.14,461549846.7938,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,27066.24573016,27106.4,26637.33403175,26705.37290079,27080.24333333,27114.08642857,26655.94809524,26718.78166667,-0.0005381,0.00445827,-0.00266458,-0.00049498,1685577600008,2.096e-05,8.0,26705.37290079,10.192620056383175,True,,-0.013418934490609047,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685588400000,1685591999999,26705.0,26829.0,26600.0,26768.6,27103.266,724444381.13292,219415,14888.466,398015562.04202,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26705.37051984,26828.9,26620.07173413,26770.68474206,26718.78880952,26831.71357143,26631.48357143,26780.90666667,-0.00051206,0.00031035,-0.0020077,-0.00046009,1685577600008,2.096e-05,8.0,26770.68474206,10.195062714897018,True,,0.0024426585138428436,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685592000000,1685595599999,26768.6,26813.6,26742.0,26797.2,9880.984,264626448.461,94780,5605.698,150137456.176,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26770.68474206,26813.5,26743.0,26797.2,26780.91142857,26822.1302381,26752.4047619,26806.13952381,-0.00045953,3.492e-05,-0.00072967,-0.00033491,1685577600008,2.096e-05,8.0,26797.2,10.196052683428842,True,,0.0009899685318242035,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685595600000,1685599199999,26797.1,26858.7,26771.8,26842.9,8112.848,217591699.9675,91324,4429.024,118795597.0584,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26797.1,26853.7,26772.96861905,26841.8,26806.13952381,26862.81666667,26786.48571429,26849.61738095,-0.00033349,-0.00017062,-0.00075659,-0.00029577,1685577600008,2.096e-05,8.0,26841.8,10.19771565292038,True,,0.001662969491537325,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685599200000,1685602799999,26843.0,26876.6,26762.0,26777.6,11210.559,300753327.2358,105171,5177.757,138924632.7538,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26841.8,26875.0,26769.6544246,26777.6,26849.61738095,26880.41166667,26780.80452381,26785.33880952,-0.00024646,-3.247e-05,-0.00071503,-0.00027703,1685577600008,2.096e-05,8.0,26777.6,10.195320996110384,True,,-0.00239465680999551,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685602800000,1685606399999,26777.6,26856.0,26753.1,26790.2,10103.295,270762779.4088,100286,5514.126,147790127.8529,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26777.6,26854.0,26753.12841808,26795.02356746,26785.35380952,26862.84904762,26764.84952381,26803.26880952,-0.00028948,-9.553e-05,-0.00070459,-0.00050089,1685577600008,2.096e-05,8.0,26795.02356746,10.195971461475494,True,,0.0006504653651102643,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685606400000,1685609999999,26790.1,26917.0,26776.7,26902.9,10031.13,269336486.5707,94330,5911.95,158744524.9752,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26795.02356746,26916.9,26780.71092413,26904.48317514,26803.27357143,26921.11955556,26790.65714286,26913.37888889,-0.00048776,-4.091e-05,-0.000623,-0.0003836,1685606400012,9.641e-05,8.0,26904.48317514,10.200048212489438,True,,0.004076751013943891,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,BTCUSDT,USDT,1h,1685610000000,1685613599999,26902.9,26945.4,26885.6,26896.9,11279.054,303568050.9686,106264,5244.376,141158830.4023,/home/arthur/Work/Devel/Repos/GitHub/crypto-pair-trading-main/data/research/binance_public_smoke/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2023-06.zip,19bd435cdf58b426642c24a0df3b5fa755433f52a8c39f05dc5cfdeffa453aa0,sprint7_smoke_2023_06_btc_eth,BTC,26904.50761959,26944.9,26888.25316296,26899.2651037,26913.40333333,26950.49733333,26898.98133333,26908.55422222,-0.00038655,-1.554e-05,-0.00070117,-0.000365,1685606400012,9.641e-05,8.0,26899.2651037,10.19985424565169,True,,-0.00019396683774886014,UNAVAILABLE,2026-06-30T19:16:34.889460+00:00
