universe,n_rebalances,additive_maxDD_return_units,legacy_max_drawdown,additive_matches_legacy,compounded_maxDD_decimal,compounded_maxDD_percent,peak_timestamp,trough_timestamp,recovery_timestamp,peak_equity,trough_equity,drawdown_duration_bars,drawdown_duration_days,time_underwater_fraction,time_underwater_percent,equity_non_positive,had_nan
original_20,219,0.34698069756361516,0.34698069756361516,True,0.31012746501892297,31.012746501892295,2024-06-30T00:00:00+00:00,2024-09-28T00:00:00+00:00,2024-11-17T00:00:00+00:00,1.83778490548193,1.2678373314947782,28,140,0.8538812785388128,85.38812785388129,False,False
large_cap,219,0.41897224966277047,0.41897224966277047,True,0.36199529908100847,36.19952990810085,2024-06-30T00:00:00+00:00,2024-09-28T00:00:00+00:00,2024-11-17T00:00:00+00:00,2.053805952589109,1.310337852527259,28,140,0.821917808219178,82.1917808219178,False,False
mid_alt_l1,219,0.7687257665914556,0.7687257665914556,True,0.5710026882841657,57.10026882841657,2025-04-06T00:00:00+00:00,2026-01-21T00:00:00+00:00,UNRECOVERED,3.29624754213814,1.4140813343271883,83,415,0.867579908675799,86.7579908675799,False,False
defi,219,0.748844357680047,0.748844357680047,True,0.5556616608089384,55.566166080893844,2025-04-06T00:00:00+00:00,2025-09-28T00:00:00+00:00,UNRECOVERED,4.062058863639677,1.804928489165985,83,415,0.8584474885844748,85.84474885844749,False,False
gaming,219,0.7450455089041195,0.7450455089041195,True,0.5672975099527777,56.72975099527777,2025-04-11T00:00:00+00:00,2025-10-03T00:00:00+00:00,2026-02-20T00:00:00+00:00,3.826287689217123,1.6556442107612814,63,315,0.8401826484018264,84.01826484018264,False,False
old_guard,219,0.5707708234305613,0.5707708234305613,True,0.4509801042128744,45.09801042128744,2024-06-30T00:00:00+00:00,2024-10-03T00:00:00+00:00,2024-11-27T00:00:00+00:00,1.2269203456448232,0.673603680305025,30,150,0.9406392694063926,94.06392694063926,False,False
mid_tier_ref,219,0.8014299227224204,0.8014299227224204,True,0.5784364138530721,57.84364138530721,2024-06-30T00:00:00+00:00,2024-11-02T00:00:00+00:00,2025-04-06T00:00:00+00:00,2.4217876908066724,1.0209375038229482,56,280,0.8949771689497716,89.49771689497716,False,False
